Thumb,Index,Middle,Ring,Pinky,Meaning
0.0,17.0,0.0,0.0,0.0,Null
0.0,16.0,0.0,0.0,0.0,Null
0.0,18.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,16.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,16.0,0.0,0.0,0.0,Null
0.0,16.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,16.0,0.0,0.0,0.0,Null
0.0,17.0,0.0,0.0,0.0,Null
0.0,18.0,0.0,0.0,0.0,Null
0.0,19.0,0.0,0.0,0.0,Null
0.0,19.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,21.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,23.0,0.0,0.0,0.0,Null
0.0,23.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,23.0,0.0,0.0,0.0,Null
0.0,23.0,0.0,0.0,0.0,Null
0.0,21.0,0.0,0.0,0.0,Null
0.0,23.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,23.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,24.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,0.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,24.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,24.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,21.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,21.0,0.0,1.0,0.0,Null
0.0,24.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,23.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,22.0,0.0,1.0,0.0,Null
0.0,21.0,0.0,1.0,0.0,Null
0.0,24.0,0.0,2.0,0.0,Null
0.0,22.0,0.0,2.0,0.0,Null
0.0,21.0,0.0,2.0,0.0,Null
0.0,24.0,0.0,2.0,0.0,Null
0.0,23.0,0.0,3.0,0.0,Null
0.0,22.0,0.0,2.0,0.0,Null
0.0,21.0,0.0,2.0,0.0,Null
0.0,23.0,0.0,2.0,0.0,Null
0.0,23.0,0.0,3.0,0.0,Null
0.0,23.0,0.0,2.0,0.0,Null
0.0,23.0,0.0,2.0,0.0,Null
0.0,22.0,0.0,2.0,0.0,Null
0.0,23.0,0.0,2.0,0.0,Null
0.0,24.0,0.0,3.0,0.0,Null
0.0,22.0,0.0,2.0,0.0,Null
0.0,23.0,0.0,3.0,0.0,Null
0.0,23.0,0.0,2.0,0.0,Null
0.0,21.0,0.0,2.0,1.0,Null
0.0,22.0,0.0,2.0,2.0,Null
0.0,23.0,0.0,3.0,4.0,Null
0.0,23.0,0.0,3.0,5.0,Null
0.0,23.0,0.0,3.0,5.0,Null
0.0,23.0,0.0,3.0,6.0,Null
0.0,24.0,0.0,3.0,8.0,Null
0.0,24.0,0.0,3.0,9.0,Null
0.0,23.0,0.0,3.0,11.0,Null
0.0,23.0,0.0,3.0,10.0,Null
0.0,24.0,0.0,3.0,11.0,Null
0.0,23.0,0.0,2.0,10.0,Null
0.0,22.0,0.0,3.0,10.0,Null
0.0,22.0,0.0,3.0,11.0,Null
0.0,22.0,0.0,3.0,12.0,Null
0.0,22.0,0.0,3.0,14.0,Null
0.0,21.0,0.0,3.0,13.0,Null
0.0,22.0,0.0,3.0,13.0,Null
0.0,22.0,0.0,3.0,13.0,Null
0.0,23.0,0.0,3.0,13.0,Null
0.0,22.0,0.0,3.0,14.0,Null
0.0,22.0,0.0,3.0,14.0,Null
0.0,23.0,0.0,3.0,14.0,Null
0.0,23.0,0.0,3.0,14.0,Null
0.0,23.0,0.0,3.0,15.0,Null
0.0,21.0,0.0,3.0,14.0,Null
0.0,22.0,0.0,3.0,13.0,Null
